Aspect ratio,Water depth (m),HLR (m/d),e,Öñ,Öñp,MI,¶ú10,MDI
1.125,0.2,0.5,0.994780501,0.500907494,0.40625,0.713447726,0.291666667,6.857142857
1.125,0.3,0.5,0.993460039,0.454628864,0.326388889,0.693430865,0.25,8.305555556
1.125,0.4,0.5,0.981805949,0.460879652,0.276041667,0.680479986,0.223958333,9.372093023
1.125,0.5,0.5,0.950759952,0.477059497,0.241666667,0.668536701,0.2,10.3125
1.125,0.6,0.5,0.914394307,0.491571112,0.215277778,0.658878077,0.1875,10.64814815
1.125,0.2,0.6,0.994624256,0.534652244,0.4375,0.723218689,0.3125,6.28
1.125,0.3,0.6,0.994961335,0.468035897,0.358333333,0.702028312,0.266666667,7.65625
1.125,0.4,0.6,0.991418657,0.453210496,0.30625,0.688687215,0.2375,8.789473684
1.125,0.5,0.6,0.974091613,0.461389991,0.27,0.677360734,0.215,9.720930233
1.125,0.6,0.6,0.954297188,0.479570246,0.241666667,0.669676378,0.204166667,10.14285714
